// 日本全国自治体公式サイトリスト（http://linkdata.org/work/rdf1s2022i）の1741件で実行
$ xargs -a sitelist.txt ./fetchall.exe
Get http://www2.city.kamagaya.chiba.jp/index.html: dial tcp: lookup www2.city.kamagaya.chiba.jp: no such host
Get http://www.cs.town.gojome.akita.jp/index.htm: dial tcp: lookup www.cs.town.gojome.akita.jp: no such host
Get http://www2.town.biratori.hokkaido.jp/biratori/: dial tcp: lookup www2.town.biratori.hokkaido.jp: no such host
Get http://www.town.erimo.hokkaido.jp/: dial tcp: lookup www.town.erimo.hokkaido.jp: no such host
Get http://www.city.kashiwazaki.niigata.jp/: dial tcp: lookup www.city.kashiwazaki.niigata.jp: no such host
Get http://www2.ocn.ne.jp/~asakawa/: dial tcp: lookup www2.ocn.ne.jp: no such host
Get http://ns.town.chippubetsu.hokkaido.jp/: dial tcp: lookup ns.town.chippubetsu.hokkaido.jp: no such host
Get http://www.sai.e-shimokita.jp/: dial tcp: lookup www.sai.e-shimokita.jp: no such host
Get http://www.teshiotown.com/: dial tcp: lookup www.teshiotown.com: no such host
Get http://www.town.miyashiro.saitama.jp/: dial tcp: lookup www.town.miyashiro.saitama.jp: no such host
Get http://www.town.rikubetsu.hokkaido.jp/: dial tcp: lookup www.town.rikubetsu.hokkaido.jp: no such host
Get http://www.city-kitaibaraki.jp/: dial tcp: lookup www.city-kitaibaraki.jp: no such host
Get http://www.town.ami.ibaraki.jp/: dial tcp: lookup www.town.ami.ibaraki.jp: no such host
0.66s   17854 http://www.town.kaneyama.fukushima.jp/
0.68s   15564 http://www.akaigawa.com/
0.69s   17748 http://www.town.hiranai.aomori.jp/
0.68s   17586 http://www.city.iwanuma.miyagi.jp/
0.68s   34796 http://www.town.ichinohe.iwate.jp/
0.69s   34212 http://www.town.oirase.aomori.jp/
0.67s   39912 http://www.city.kokubunji.tokyo.jp/
0.68s   26074 http://www.city.tachikawa.lg.jp/
0.68s   42709 http://www.town.kawamata.lg.jp/
0.67s   33415 http://www.city.fujisawa.kanagawa.jp/
0.69s   23468 http://www.town.onjuku.chiba.jp/
0.68s   27595 http://www.city.bando.ibaraki.jp/
0.68s   17951 http://www.town.toyotomi.hokkaido.jp/
0.69s   23823 http://www.city.takasaki.gunma.jp/
0.70s   25928 http://www.city.nanyo.yamagata.jp/
0.69s   14718 http://www.town.namegawa.saitama.jp/
0.69s   32711 http://www.city.kumagaya.lg.jp/
0.71s   30094 http://www.vill.yomogita.lg.jp/
0.69s   25163 http://www.city.zama.kanagawa.jp/
0.72s   46362 http://mombetsu.jp/
0.71s   46402 http://www.town.onagawa.miyagi.jp/
0.70s   19316 http://www.town.aizumisato.fukushima.jp/
0.70s   31371 http://www.vill.tsurui.lg.jp/
0.72s   36056 http://www.town.kuzumaki.iwate.jp/
0.73s   18124 http://www.town.niseko.lg.jp/
0.72s   30896 http://www.city.yachiyo.chiba.jp/
0.70s   26219 http://www.townhamanaka.jp/
0.71s   40734 http://www.town.shisui.chiba.jp/
0.73s   35386 http://www.city.choshi.chiba.jp/
0.72s   32476 http://www.town.iwaizumi.iwate.jp/
0.71s   41280 http://www.city.machida.tokyo.jp/
0.73s   34108 http://www.city.mobara.chiba.jp/
0.71s   18551 http://www.vill.hirata.fukushima.jp/
0.71s   25455 http://www.town.goka.lg.jp/
0.72s   19506 http://town.tohma.hokkaido.jp/
0.72s   50378 http://www.town.makubetsu.lg.jp/
0.73s   32963 http://www.town.tohoku.lg.jp/
0.75s   40370 http://www.e-rumoi.jp/
0.72s   11706 http://www.city.inashiki.lg.jp/
0.72s   26026 http://www.city.myoko.niigata.jp/
0.75s   31654 http://www.city.kamaishi.iwate.jp/
0.75s    4342 http://www.town.asahi.yamagata.jp/
0.76s   25345 http://www.town.shari.hokkaido.jp/
0.76s   29842 http://www.rokkasho.jp/
0.77s   37191 http://www.town.iwanai.hokkaido.jp/
0.76s   28242 http://www.town.yokohama.lg.jp/
0.75s   79465 http://www.town.kamisato.saitama.jp/
0.75s   24754 http://www.city.shimotsuke.lg.jp/
0.77s   33588 http://www.town.misato.miyagi.jp/
0.78s    1807 http://www.city.ninohe.iwate.jp/
0.76s   35485 http://www.city.arakawa.tokyo.jp/
0.77s   21246 http://www.town.shintotsukawa.lg.jp/index.jsp
0.77s   22914 http://www.city.ofunato.iwate.jp/
0.77s   31143 http://www.city.tochigi.tochigi.jp/
0.76s   44452 http://www.city.isehara.kanagawa.jp/
0.77s   53915 http://www.city.shinagawa.tokyo.jp/
0.78s   20978 http://www.city.kazuno.akita.jp/
0.77s   51608 http://www.city.hitachi.lg.jp/
0.79s   36237 http://www.town.sumita.iwate.jp/
0.78s   27555 http://www.city.tsuchiura.lg.jp/
0.78s   30780 http://www.city.nerima.tokyo.jp/
0.80s   69095 http://www.city.yonezawa.yamagata.jp/
0.79s   31103 http://www.city.isumi.lg.jp/
0.79s   23128 http://www.town.aibetsu.hokkaido.jp/
0.78s   37324 http://www.city.wajima.ishikawa.jp/
0.83s   35550 http://www.town.yakumo.lg.jp
0.81s   17240 http://www.town.mamurogawa.yamagata.jp/
0.81s   39087 http://www.town.abira.lg.jp/
0.83s   33340 http://www.city.fukushima.fukushima.jp/
0.81s   10555 http://www.city.nagaoka.niigata.jp/
0.82s   63939 http://www.city.bunkyo.lg.jp/
0.82s   31579 http://www.town.shibata.miyagi.jp/
0.83s   54798 http://www.city.morioka.iwate.jp/
0.82s   30825 http://www.city.uozu.toyama.jp/
0.84s   28915 http://www.town.rokunohe.aomori.jp/
0.86s   60685 http://www.city.furano.hokkaido.jp/
0.84s   45216 http://www.vill.otama.fukushima.jp/
0.84s   35557 http://www.city.tsubame.niigata.jp/
0.85s   24270 http://www.town.ikawa.akita.jp/
0.84s   15719 http://www.town.hiroo.hokkaido.jp/
0.84s   26878 http://www.city.miura.kanagawa.jp/
0.85s   43303 http://www.vill.kawaba.gunma.jp/
0.85s    6585 http://www.city.nasushiobara.lg.jp/
0.86s   32088 http://www.city.meguro.tokyo.jp
0.86s   31031 http://www.city.koganei.lg.jp/
0.86s   25793 http://www.city.fujioka.gunma.jp/
0.86s   27130 http://vill.kouzushima.tokyo.jp/
0.87s   56957 http://www.city.kitaakita.akita.jp/
0.86s   20292 http://www.city.ayase.kanagawa.jp/
0.88s   19628 http://www.town.ooma.lg.jp/
0.88s   36997 http://www.shirakami.or.jp/~fujisato/
0.88s   23606 http://www.town.yamanobe.yamagata.jp/
0.87s   33477 http://www.town.samukawa.kanagawa.jp/
0.89s   27092 http://www.city.goshogawara.lg.jp/
0.87s   26106 http://minamiaizu.org/
0.87s    1040 http://www.town-manazuru.jp/index2.html
0.88s   26413 http://www.town.shirako.chiba.jp/
0.90s   25909 http://www.dosanko.co.jp/kosimizu/
0.88s   50497 http://www.city.zushi.kanagawa.jp/
0.90s   33788 http://www.town.kujukuri.chiba.jp/
0.89s   32430 http://www.city.okegawa.lg.jp/index.html
0.92s   41484 http://www.city.tomakomai.hokkaido.jp/
0.89s   26413 http://www.town.nyuzen.toyama.jp/
0.91s   43586 http://www.town.kaneyama.yamagata.jp/
0.91s   20645 http://www.town.shichinohe.lg.jp/
0.92s   44771 http://www.town.saroma.hokkaido.jp/
0.90s   28927 http://www.town.yamakita.kanagawa.jp/
0.91s   30392 http://mogami.tv/
0.92s   35540 http://www.town.ugo.lg.jp/
0.92s   30955 http://www.town.nakadomari.lg.jp
0.91s   44731 http://www.shibetsutown.jp/
0.92s   32266 http://www.town.oguni.yamagata.jp/
0.91s   33515 http://www.town.tateyama.toyama.jp/
0.92s   27814 http://www.city.kasumigaura.ibaraki.jp/
0.92s   25619 http://www.city.nanao.lg.jp/
0.94s   20703 http://www.town.kozaki.chiba.jp/
0.93s   47274 http://www.city.hachioji.tokyo.jp/
0.96s   48412 http://www.city.funabashi.chiba.jp/
0.94s   25694 http://www.city.tome.miyagi.jp/
0.96s   31332 http://www.town.fujisaki.lg.jp/
0.95s   33861 http://www.town.kahoku.yamagata.jp/
0.96s   17974 http://www.city.koriyama.fukushima.jp/
0.95s   34792 http://www.city.shiroishi.miyagi.jp/
